,minute,symbol,OFI_0_h_i_t
0,2024-10-21 11:54,AAPL,-531
1,2024-10-21 11:55,AAPL,-1217
2,2024-10-21 11:56,AAPL,334
3,2024-10-21 11:57,AAPL,1060
4,2024-10-21 11:58,AAPL,614
5,2024-10-21 11:59,AAPL,372
6,2024-10-21 12:00,AAPL,620
7,2024-10-21 12:01,AAPL,-798
8,2024-10-21 12:02,AAPL,-1200
9,2024-10-21 12:03,AAPL,-449
10,2024-10-21 12:04,AAPL,147
11,2024-10-21 12:05,AAPL,285
12,2024-10-21 12:06,AAPL,-3736
13,2024-10-21 12:07,AAPL,-750
14,2024-10-21 12:08,AAPL,778
15,2024-10-21 12:09,AAPL,233
16,2024-10-21 12:10,AAPL,9
17,2024-10-21 12:11,AAPL,-1
18,2024-10-21 12:12,AAPL,-1418
19,2024-10-21 12:13,AAPL,-1050
20,2024-10-21 12:14,AAPL,-22
21,2024-10-21 12:15,AAPL,-2481
22,2024-10-21 12:16,AAPL,-4006
23,2024-10-21 12:17,AAPL,-1736
24,2024-10-21 12:18,AAPL,-3100
25,2024-10-21 12:19,AAPL,-3050
26,2024-10-21 12:20,AAPL,-795
27,2024-10-21 12:21,AAPL,0
28,2024-10-21 12:22,AAPL,141
29,2024-10-21 12:23,AAPL,-368
30,2024-10-21 12:24,AAPL,-178
31,2024-10-21 12:25,AAPL,84
32,2024-10-21 12:26,AAPL,239
33,2024-10-21 12:27,AAPL,24
34,2024-10-21 12:28,AAPL,-593
35,2024-10-21 12:29,AAPL,-1099
36,2024-10-21 12:30,AAPL,-1409
37,2024-10-21 12:31,AAPL,-3421
38,2024-10-21 12:32,AAPL,-4012
39,2024-10-21 12:33,AAPL,-2370
40,2024-10-21 12:34,AAPL,-4742
41,2024-10-21 12:35,AAPL,891
42,2024-10-21 12:36,AAPL,-287
43,2024-10-21 12:37,AAPL,-302
44,2024-10-21 12:38,AAPL,-3503
45,2024-10-21 12:39,AAPL,-1103
46,2024-10-21 12:40,AAPL,-2976
47,2024-10-21 12:41,AAPL,-3655
48,2024-10-21 12:42,AAPL,-15
49,2024-10-21 12:43,AAPL,-193
50,2024-10-21 12:44,AAPL,-3507
51,2024-10-21 12:45,AAPL,-391
52,2024-10-21 12:46,AAPL,178
53,2024-10-21 12:47,AAPL,-2327
54,2024-10-21 12:48,AAPL,-1134
55,2024-10-21 12:49,AAPL,-307
56,2024-10-21 12:50,AAPL,-20
57,2024-10-21 12:51,AAPL,-414
58,2024-10-21 12:52,AAPL,-138
59,2024-10-21 12:53,AAPL,-1180
60,2024-10-21 12:54,AAPL,-185
61,2024-10-21 12:55,AAPL,-1908
62,2024-10-21 12:56,AAPL,211
63,2024-10-21 12:57,AAPL,22
64,2024-10-21 12:58,AAPL,-3
65,2024-10-21 12:59,AAPL,-49
66,2024-10-21 13:00,AAPL,-1007
67,2024-10-21 13:01,AAPL,-1123
68,2024-10-21 13:02,AAPL,-6396
69,2024-10-21 13:03,AAPL,15
70,2024-10-21 13:04,AAPL,4
